version,filepath,label
3.1,django/__init__.py,clean
3.1,django/__main__.py,clean
3.1,django/apps/__init__.py,clean
3.1,django/apps/config.py,buggy
3.1,django/apps/registry.py,buggy
3.1,django/bin/django-admin.py,clean
3.1,django/conf/__init__.py,buggy
3.1,django/conf/global_settings.py,clean
3.1,django/conf/locale/__init__.py,clean
3.1,django/conf/locale/ar/__init__.py,clean
3.1,django/conf/locale/ar/formats.py,clean
3.1,django/conf/locale/ar_DZ/__init__.py,clean
3.1,django/conf/locale/ar_DZ/formats.py,clean
3.1,django/conf/locale/az/__init__.py,clean
3.1,django/conf/locale/az/formats.py,clean
3.1,django/conf/locale/bg/__init__.py,clean
3.1,django/conf/locale/bg/formats.py,clean
3.1,django/conf/locale/bn/__init__.py,clean
3.1,django/conf/locale/bn/formats.py,clean
3.1,django/conf/locale/bs/__init__.py,clean
3.1,django/conf/locale/bs/formats.py,clean
3.1,django/conf/locale/ca/__init__.py,clean
3.1,django/conf/locale/ca/formats.py,clean
3.1,django/conf/locale/cs/__init__.py,clean
3.1,django/conf/locale/cs/formats.py,clean
3.1,django/conf/locale/cy/__init__.py,clean
3.1,django/conf/locale/cy/formats.py,clean
3.1,django/conf/locale/da/__init__.py,clean
3.1,django/conf/locale/da/formats.py,clean
3.1,django/conf/locale/de/__init__.py,clean
3.1,django/conf/locale/de/formats.py,clean
3.1,django/conf/locale/de_CH/__init__.py,clean
3.1,django/conf/locale/de_CH/formats.py,clean
3.1,django/conf/locale/el/__init__.py,clean
3.1,django/conf/locale/el/formats.py,clean
3.1,django/conf/locale/en/__init__.py,clean
3.1,django/conf/locale/en/formats.py,clean
3.1,django/conf/locale/en_AU/__init__.py,clean
3.1,django/conf/locale/en_AU/formats.py,clean
3.1,django/conf/locale/en_GB/__init__.py,clean
3.1,django/conf/locale/en_GB/formats.py,clean
3.1,django/conf/locale/eo/__init__.py,clean
3.1,django/conf/locale/eo/formats.py,clean
3.1,django/conf/locale/es/__init__.py,clean
